Tier,Business Transactions ,,
remote-selling-service-deployment,/remote-selling-service/v1,Very Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cremote-selling-service-deployment%7C%2Fremote-selling-service%2Fv1%7CNumber%20of%20Very%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/phone,Load,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fphone%7CCalls%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/phone,Response ,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fphone%7CAverage%20Response%20Time%20%28ms%29&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/phone,Error,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fphone%7CErrors%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/phone,Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fphone%7CNumber%20of%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/phone,Very Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fphone%7CNumber%20of%20Very%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/otp,Load,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fotp%7CCalls%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/otp,Response ,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fotp%7CAverage%20Response%20Time%20%28ms%29&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/otp,Error,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fotp%7CErrors%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/otp,Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fotp%7CNumber%20of%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
